iou,dice,precision,recall,file
0.963828371278425,0.9815810641853454,0.9854142942065419,0.9777775408898223,d_r_122_
0.7145548548096735,0.8335164696599848,0.9255436608900197,0.7581348101058426,d_r_129_
0.07676225321326992,0.14257976258769525,0.6354815446141743,0.08029789666398814,d_r_144_
0.861604395794837,0.9256578870796698,0.9683434877684107,0.8865766545084854,d_r_166_
0.7073724921439518,0.8286094515388408,0.7598802084234944,0.9110078034202225,d_r_182_
0.6038414539257525,0.7529939476844405,0.6559711337006285,0.8836993977950263,d_r_196_
0.0,0.0,0.0,1.0,d_r_233_
0.0,0.0,0.0,1.0,d_r_277_
0.0,0.0,0.0,1.0,d_r_300_
0.9095015421350204,0.9526062399699384,0.9831153746881184,0.9239336971902163,d_r_345_
0.0,0.0,0.0,1.0,d_r_379_
0.0,0.0,0.0,1.0,d_r_384_
0.9220082284896204,0.9594217286095241,0.9459372658173643,0.9732961966356669,d_r_386_
0.0,0.0,0.0,1.0,d_r_465_
0.0,0.0,0.0,1.0,d_r_47_
0.0,0.0,0.0,1.0,d_r_547_
0.8471458457030454,0.9172484648938067,0.9076882829640112,0.9270121747578711,d_r_552_
0.33667756500075746,0.5037528478314315,0.34236607623474574,0.9529702097655561,d_r_58_
0.0949180309473743,0.1733792453216736,0.09535027898326101,0.9544172402121178,d_r_598_
0.0,0.0,0.0,1.0,d_r_602_
0.8278501155579208,0.9058183803054697,0.9021594021387578,0.9095071595071595,d_r_635_
0.48372344142011503,0.6520398989681382,0.49289667001067927,0.9629512549788203,d_r_801_
0.0,0.0,0.0,1.0,d_r_84_
0.7607144540270153,0.8640974716679908,0.7633983466071395,0.9953996620663287,f_r_1033_
0.39168244302252175,0.5628905430061291,0.39170884902554537,0.999827919982792,f_r_1059_
0.532839684290905,0.6952321103787156,0.5478243039255892,0.9511722152785669,f_r_106_
0.4353137030484996,0.6065763911038063,0.776878226315594,0.4975146859466787,f_r_1079_
0.4740872837871324,0.6432282389264455,0.8785556434117957,0.5073349490124454,f_r_1165_
0.49453541385728533,0.6617914962361795,0.9451890034364261,0.5091363444044849,f_r_1199_
0.225344595033199,0.3678060783009266,0.9398916967509026,0.22863959368573583,f_r_1220_
0.5865522174533339,0.739404869251442,0.6311655670750864,0.892452578739283,f_r_1229_
0.7318124571228888,0.8451405394538741,0.801990641516209,0.8931976954897084,f_r_1276_
0.7388300531792331,0.8498013383520429,0.872540862610376,0.8282169515705806,f_r_1282_
0.021733599299801454,0.04254259488910923,0.021786370128545195,0.8997261428270487,f_r_1298_
0.9620529241178731,0.9806595044324874,0.9772561293688055,0.9840866674082589,f_r_1303_
0.9980045572916342,0.999001282203745,1.0,0.9980045572916667,f_r_1319_
0.7046372243375816,0.8267298335121153,0.7883444663243111,0.869044578757697,f_r_1340_
0.7356364129275701,0.8476849269216951,0.7457011620603015,0.9819831463578556,f_r_13_
0.10596480564532473,0.19162419112151552,0.10603318474124951,0.9939509820962976,f_r_1410_
0.7286002014098117,0.8429944654820473,0.9552731473840568,0.754333376775707,f_r_1428_
0.8169228042634081,0.8992377687665093,0.8924106648965594,0.9061701350857977,f_r_1435_
0.15965494791666146,0.27534905655080266,0.17854451599751,0.6014445657105718,f_r_1440_
0.3473316318318573,0.5155844687764344,0.9218160737169707,0.3578742377362603,f_r_1450_
0.8920954471631244,0.9429708723211294,0.9757486237815749,0.9123237165837217,f_r_1452_
0.8167021750977534,0.899104086836697,0.914543310909217,0.8841774952729613,f_r_1461_
0.5182059968970238,0.682655710695592,0.8790214297223267,0.5580027616303848,f_r_1467_
0.4346354166666525,0.6059175893991512,1.0,0.43463541666666666,f_r_1471_
0.7560482323375344,0.8610791189159234,0.8628501780647128,0.8593153153153154,f_r_1478_
0.9950976562499676,0.9975428051179975,1.0,0.99509765625,f_r_1644_
0.6329599765038426,0.7752302390889041,0.6754542799546966,0.9095923261390887,f_r_1737_
0.8666031401894546,0.9285349644290183,0.9551564321709721,0.9033572092514627,f_r_1782_
0.06027774675155217,0.11370180490202564,0.060431869505981596,0.9594074074074074,f_r_1800_
0.8229174836542468,0.9028576345700678,0.8505910618477684,0.9619680274717032,f_r_1892_
0.9747123623010419,0.9871942677922512,0.9886956899602083,0.9856973987956356,f_r_1920_
0.9999999999999674,0.9999999999999837,1.0,1.0,f_r_1931_
0.7997982366434868,0.8887643296451512,0.882745471877979,0.8948658281084508,f_r_1948_
0.5271740427054125,0.6903915702646641,0.6466448157794621,0.7404869221360232,f_r_1965_
0.8752408631683354,0.933470340113602,0.9226332091394712,0.9445650800215996,f_r_1992_
0.24299182772293335,0.39097896269853344,0.46926403427231944,0.3350792894968472,f_r_2052_
0.44102411975436623,0.6120981789389371,0.502783558792924,0.7821529745042493,f_r_209_
0.5227673189276997,0.6866017052373062,0.5887206266318538,0.8235208181154127,f_r_214_
0.97740083754907,0.9885712790134442,0.9906151922858367,0.9865357826919728,f_r_246_
0.402521739130391,0.5739971479942515,0.40603482303407745,0.9789573860632336,f_r_24_
0.8215576814300909,0.9020386121235451,0.896976694232628,0.9071579862053983,f_r_263_
0.4603871546694249,0.6305001426469528,0.516188149053146,0.8098432743263051,f_r_329_
0.9996842447916341,0.9998420974665434,0.9999609266886996,0.9997232964829356,f_r_392_
0.9999999999999674,0.9999999999999837,1.0,1.0,f_r_403_
0.26462358383275586,0.4185017379333515,0.2646235838327647,1.0,f_r_446_
0.2645334977196091,0.41838907106320933,0.26453349771962187,1.0,f_r_478_
0.48812956260322177,0.6560310000821765,0.9019496712763546,0.5154832858253433,f_r_54_
0.10590659864896182,0.19152901118113105,0.10591603053435114,0.9991598655784926,f_r_604_
0.7530927700801922,0.859159062125096,0.989905214284186,0.7589211604644219,f_r_644_
0.8278104676367188,0.9057946458825599,0.8646288209606987,0.9510763209393346,f_r_721_
